iter	Passed	Remaining
783	25523	7031
784	25556	6999
785	25595	6968
786	25634	6938
787	25670	6906
788	25740	6883
789	25780	6853
790	25816	6821
791	25849	6788
792	25880	6755
793	25912	6722
794	25943	6689
795	25973	6656
796	26009	6624
797	26041	6591
798	26070	6558
799	26105	6526
800	26141	6494
801	26194	6466
802	26246	6439
803	26282	6407
804	26321	6375
805	26352	6342
806	26386	6310
807	26416	6277
808	26457	6246
809	26493	6214
810	26518	6180
811	26539	6144
812	26563	6109
813	26589	6075
814	26612	6040
815	26642	6007
816	26673	5974
817	26709	5942
818	26771	5916
819	26882	5900
820	27014	5889
821	27065	5860
822	27128	5834
823	27174	5804
824	27217	5773
825	27258	5742
826	27297	5710
827	27331	5677
828	27359	5643
829	27387	5609
830	27421	5576
831	27457	5544
832	27499	5513
833	27547	5483
834	27598	5453
835	27676	5429
836	27719	5398
837	27768	5368
838	27820	5338
839	27852	5305
840	27886	5272
841	27920	5239
842	27949	5205
843	27979	5171
844	28013	5138
845	28051	5106
846	28084	5073
847	28127	5041
848	28171	5010
849	28211	4978
850	28257	4947
851	28297	4915
852	28332	4882
853	28365	4849
854	28395	4815
855	28429	4782
856	28462	4749
857	28497	4716
858	28540	4684
859	28572	4651
860	28602	4617
861	28640	4585
862	28676	4552
863	28713	4519
864	28752	4487
865	28789	4454
866	28838	4423
867	28886	4392
868	28939	4362
869	28983	4330
870	29020	4298
871	29058	4265
872	29111	4234
873	29138	4200
874	29181	4168
875	29214	4135
876	29259	4103
877	29302	4071
878	29340	4038
879	29398	4008
880	29433	3975
881	29468	3942
882	29516	3910
883	29561	3879
884	29617	3848
885	29670	3817
886	29707	3784
887	29742	3751
888	29787	3719
889	29851	3689
890	29893	3657
891	29923	3622
892	29955	3589
893	29993	3556
894	30026	3522
895	30055	3488
896	30091	3455
897	30133	3422
898	30177	3390
899	30233	3359
900	30265	3325
901	30299	3291
902	30339	3259
903	30398	3228
904	30463	3197
905	30515	3166
906	30561	3133
907	30594	3099
908	30669	3070
909	30717	3038
910	30762	3005
911	30816	2973
912	30865	2941
913	30910	2908
914	30952	2875
915	31000	2842
916	31037	2809
917	31078	2776
918	31125	2743
919	31172	2710
920	31214	2677
921	31262	2644
922	31306	2611
923	31347	2578
924	31394	2545
925	31428	2511
926	31466	2477
927	31502	2444
928	31545	2410
929	31585	2377
930	31624	2343
931	31663	2310
932	31711	2277
933	31749	2243
934	31795	2210
935	31842	2177
936	31877	2143
937	31917	2109
938	31949	2075
939	31995	2042
940	32040	2008
941	32072	1974
942	32106	1940
943	32143	1906
944	32183	1873
945	32219	1839
946	32253	1805
947	32278	1770
948	32340	1738
949	32388	1704
950	32423	1670
951	32459	1636
952	32532	1604
953	32594	1571
954	32647	1538
955	32685	1504
956	32729	1470
957	32775	1436
958	32811	1402
959	32851	1368
960	32897	1335
961	32938	1301
962	32977	1267
963	33017	1233
964	33057	1198
965	33091	1164
966	33130	1130
967	33159	1096
968	33196	1062
969	33230	1027
970	33268	993
971	33308	959
972	33347	925
973	33375	890
974	33406	856
975	33436	822
976	33474	788
977	33508	753
978	33539	719
979	33573	685
980	33599	650
981	33636	616
982	33670	582
983	33706	548
984	33742	513
985	33785	479
986	33816	445
987	33852	411
988	33884	376
989	33917	342
990	33953	308
991	33985	274
992	34027	239
993	34059	205
994	34100	171
995	34137	137
996	34169	102
997	34214	68
998	34261	34
999	34293	0
